heap,n,full,last
binomial,1,4336,1072
binomial,1,468,685
binomial,1,455,621
binomial,1,366,614
binomial,1,354,674
binomial,1,356,620
binomial,1,357,623
binomial,1,353,627
binomial,1,341,593
binomial,1,341,625
binomial,1,417,622
binomial,1,334,587
binomial,1,329,637
binomial,1,378,631
binomial,1,331,621
binomial,1,328,579
binomial,1,329,547
binomial,1,317,553
binomial,1,313,603
binomial,1,315,599
binomial,2,983,466
binomial,2,1008,391
binomial,2,939,347
binomial,2,891,362
binomial,2,923,356
binomial,2,919,355
binomial,2,840,339
binomial,2,896,349
binomial,2,829,355
binomial,2,857,369
binomial,2,854,377
binomial,2,852,370
binomial,2,874,374
binomial,2,932,362
binomial,2,881,364
binomial,2,889,378
binomial,2,858,342
binomial,2,887,376
binomial,2,893,376
binomial,2,875,383
binomial,4,2140,393
binomial,4,2142,365
binomial,4,2076,367
binomial,4,1908,343
binomial,4,2014,336
binomial,4,2082,376
binomial,4,2315,381
binomial,4,2237,418
binomial,4,2047,431
binomial,4,2086,375
binomial,4,2102,388
binomial,4,1958,363
binomial,4,1984,351
binomial,4,1987,369
binomial,4,2102,369
binomial,4,2238,384
binomial,4,2022,355
binomial,4,2035,407
binomial,4,2019,379
binomial,4,2000,356
binomial,8,4505,401
binomial,8,4662,372
binomial,8,4622,373
binomial,8,4475,364
binomial,8,4386,393
binomial,8,4439,394
binomial,8,4410,372
binomial,8,4473,367
binomial,8,4491,374
binomial,8,4260,371
binomial,8,4271,350
binomial,8,4650,399
binomial,8,4480,378
binomial,8,4213,345
binomial,8,4571,384
binomial,8,4343,366
binomial,8,4512,399
binomial,8,5924,471
binomial,8,6157,557
binomial,8,5650,426
binomial,16,9169,409
binomial,16,9215,361
binomial,16,8920,371
binomial,16,9039,387
binomial,16,9985,483
binomial,16,10712,461
binomial,16,11125,449
binomial,16,11056,470
binomial,16,12738,468
binomial,16,11409,507
binomial,16,9585,379
binomial,16,9038,381
binomial,16,9124,379
binomial,16,11797,513
binomial,16,10626,499
binomial,16,11660,405
binomial,16,9132,373
binomial,16,8900,375
binomial,16,8859,383
binomial,16,9890,421
binomial,32,19724,411
binomial,32,18461,382
binomial,32,19108,378
binomial,32,22230,396
binomial,32,19089,412
binomial,32,19261,380
binomial,32,18397,376
binomial,32,19067,384
binomial,32,18483,357
binomial,32,22813,422
binomial,32,19023,379
binomial,32,18927,388
