heap,n,full,last
binomial,1,2416,1172
binomial,1,486,659
binomial,1,390,610
binomial,1,356,622
binomial,1,348,568
binomial,1,334,610
binomial,1,335,588
binomial,1,304,600
binomial,1,345,547
binomial,1,329,581
binomial,1,299,541
binomial,1,336,581
binomial,1,311,533
binomial,1,334,619
binomial,1,336,580
binomial,1,317,564
binomial,1,347,591
binomial,1,356,581
binomial,1,333,602
binomial,1,336,586
binomial,1,354,657
binomial,1,354,604
binomial,1,328,629
binomial,1,349,678
binomial,1,348,599
binomial,1,307,567
binomial,1,344,570
binomial,1,332,576
binomial,1,327,587
binomial,1,340,625
binomial,2,949,484
binomial,2,949,401
binomial,2,881,397
binomial,2,928,385
binomial,2,896,382
binomial,2,860,346
binomial,2,822,351
binomial,2,900,343
binomial,2,876,367
binomial,2,889,383
binomial,2,848,382
binomial,2,873,394
binomial,2,802,354
binomial,2,876,402
binomial,2,806,369
binomial,2,829,378
binomial,2,902,370
binomial,2,874,378
binomial,2,900,349
binomial,2,849,360
binomial,2,815,354
binomial,2,851,352
binomial,2,831,350
binomial,2,916,380
binomial,2,898,376
binomial,2,888,347
binomial,2,806,347
binomial,2,815,359
binomial,2,820,339
binomial,2,828,347
binomial,4,2111,388
binomial,4,2131,397
binomial,4,2067,362
binomial,4,2103,360
binomial,4,1882,342
binomial,4,1955,362
binomial,4,2074,371
binomial,4,2123,385
binomial,4,2051,363
binomial,4,2179,385
binomial,4,2092,418
binomial,4,2029,380
binomial,4,2238,387
binomial,4,2085,369
binomial,4,2247,368
binomial,4,1957,348
binomial,4,1948,353
binomial,4,2046,368
binomial,4,2100,376
binomial,4,2213,382
binomial,4,2191,396
binomial,4,2031,373
binomial,4,1960,376
binomial,4,2169,396
binomial,4,2044,368
binomial,4,2085,379
binomial,4,1967,364
binomial,4,2030,345
binomial,4,2046,382
binomial,4,2296,374
binomial,8,4730,419
binomial,8,4836,360
binomial,8,4491,384
binomial,8,4262,354
binomial,8,4520,392
binomial,8,4543,418
binomial,8,4772,354
binomial,8,4553,370
binomial,8,4589,365
binomial,8,4694,377
binomial,8,4397,357
binomial,8,4761,371
binomial,8,4465,356
binomial,8,4378,356
binomial,8,4619,355
binomial,8,4252,374
binomial,8,4522,363
binomial,8,4566,361
binomial,8,4532,355
binomial,8,4597,357
binomial,8,4281,333
binomial,8,4509,352
binomial,8,4733,377
binomial,8,4402,355
binomial,8,4530,393
binomial,8,4350,353
binomial,8,4192,337
binomial,8,4265,355
binomial,8,4250,337
binomial,8,4264,377
binomial,16,9251,382
binomial,16,9005,371
binomial,16,9786,374
binomial,16,9760,362
binomial,16,9524,331
binomial,16,9520,355
binomial,16,8811,355
binomial,16,9263,356
binomial,16,9183,361
binomial,16,9020,361
binomial,16,9284,356
binomial,16,8911,360
binomial,16,9786,390
binomial,16,9612,387
binomial,16,9336,352
binomial,16,9262,363
binomial,16,8934,384
binomial,16,9414,390
binomial,16,9125,362
binomial,16,8974,377
binomial,16,8737,362
binomial,16,8969,383
binomial,16,9423,359
binomial,16,9342,404
binomial,16,12969,361
binomial,16,9495,356
binomial,16,8734,335
binomial,16,9274,334
binomial,16,9580,361
binomial,16,9252,349
binomial,32,19027,422
binomial,32,18555,339
binomial,32,18871,358
binomial,32,18566,359
binomial,32,18720,355
binomial,32,19644,363
binomial,32,17879,347
binomial,32,18998,356
binomial,32,18549,359
binomial,32,18673,347
binomial,32,18889,396
binomial,32,19459,383
binomial,32,19224,355
binomial,32,18660,344
binomial,32,18489,339
binomial,32,18398,352
binomial,32,18580,368
binomial,32,18549,374
binomial,32,18882,352
binomial,32,19720,377
binomial,32,18494,327
binomial,32,18915,354
binomial,32,18895,372
binomial,32,19044,377
binomial,32,18411,353
binomial,32,19471,352
binomial,32,18682,357
binomial,32,18849,335
binomial,32,18029,352
binomial,32,18976,342
binomial,64,39798,392
binomial,64,38348,375
binomial,64,36810,376
binomial,64,38040,381
binomial,64,37620,352
binomial,64,37326,362
binomial,64,37039,388
binomial,64,38195,362
binomial,64,38164,367
binomial,64,38387,362
binomial,64,38743,367
binomial,64,38192,365
binomial,64,39362,406
binomial,64,36606,373
binomial,64,37651,361
binomial,64,38049,370
binomial,64,37730,361
binomial,64,37864,347
binomial,64,38491,345
binomial,64,37677,370
binomial,64,36352,352
binomial,64,36225,360
binomial,64,37627,374
binomial,64,38276,364
binomial,64,38450,370
binomial,64,37155,377
binomial,64,39544,366
binomial,64,38126,372
binomial,64,38270,371
binomial,64,38442,344
binomial,128,89975,392
binomial,128,76733,371
binomial,128,84309,404
binomial,128,81429,449
binomial,128,86953,425
binomial,128,85894,525
binomial,128,89055,416
binomial,128,86574,418
binomial,128,81617,385
binomial,128,87535,384
binomial,128,82217,404
binomial,128,77213,371
binomial,128,74797,382
binomial,128,75903,372
binomial,128,76329,363
binomial,128,87793,357
binomial,128,75163,382
binomial,128,75382,362
binomial,128,76916,355
binomial,128,78502,458
binomial,128,75763,350
binomial,128,76371,343
binomial,128,76090,375
binomial,128,75980,370
binomial,128,75996,356
binomial,128,76991,363
binomial,128,76026,348
binomial,128,76953,354
binomial,128,77385,357
binomial,128,159772,351
binomial,256,171579,417
binomial,256,152624,349
binomial,256,163539,485
binomial,256,152366,380
binomial,256,151828,359
binomial,256,150837,361
binomial,256,151349,363
binomial,256,152013,362
binomial,256,150524,359
binomial,256,151853,357
binomial,256,153481,356
binomial,256,150837,382
binomial,256,149844,374
binomial,256,153187,365
binomial,256,152386,371
binomial,256,152165,354
binomial,256,151652,372
binomial,256,151236,367
binomial,256,149539,360
binomial,256,152058,368
binomial,256,153926,361
binomial,256,152616,404
binomial,256,151602,366
binomial,256,151921,393
binomial,256,153648,356
binomial,256,153188,349
binomial,256,152289,356
binomial,256,150383,356
binomial,256,153678,350
binomial,256,151415,362
binomial,512,316249,435
binomial,512,305648,390
binomial,512,314799,386
binomial,512,309103,385
binomial,512,302646,377
binomial,512,296453,419
binomial,512,302253,359
binomial,512,300103,383
binomial,512,302943,358
binomial,512,303107,364
binomial,512,303550,369
binomial,512,304324,369
binomial,512,321368,369
binomial,512,304048,385
binomial,512,304835,367
binomial,512,311436,381
binomial,512,303607,370
binomial,512,308747,350
binomial,512,302323,352
binomial,512,309096,381
binomial,512,304635,364
binomial,512,306385,408
binomial,512,303116,371
binomial,512,306350,375
binomial,512,304738,378
binomial,512,320310,332
binomial,512,305630,382
binomial,512,307142,354
binomial,512,302332,381
binomial,512,317566,376
binomial,1024,1126607,625
binomial,1024,622650,553
binomial,1024,656401,395
binomial,1024,934637,364
binomial,1024,1129461,371
binomial,1024,690496,376
binomial,1024,603899,363
binomial,1024,609470,357
binomial,1024,606768,341
binomial,1024,634269,375
binomial,1024,613387,372
binomial,1024,645314,522
binomial,1024,685894,428
binomial,1024,666687,365
binomial,1024,611928,368
binomial,1024,607719,354
binomial,1024,609862,392
binomial,1024,614217,385
binomial,1024,611164,359
binomial,1024,613084,364
binomial,1024,615013,358
binomial,1024,607634,351
binomial,1024,612358,380
binomial,1024,607452,390
binomial,1024,621687,384
binomial,1024,610176,397
binomial,1024,610748,346
binomial,1024,613144,357
binomial,1024,608075,368
binomial,1024,603902,392
binomial,2048,1270142,411
binomial,2048,1218194,372
binomial,2048,1225144,423
binomial,2048,1222389,365
binomial,2048,1366410,391
binomial,2048,1217497,371
binomial,2048,1231742,377
binomial,2048,1223365,368
binomial,2048,1211162,384
binomial,2048,1222337,352
binomial,2048,1210931,350
binomial,2048,1413665,615
binomial,2048,1251445,381
binomial,2048,1225913,368
binomial,2048,1226175,373
binomial,2048,1218139,359
binomial,2048,1224732,369
binomial,2048,1274930,382
binomial,2048,1220903,375
binomial,2048,1217525,375
binomial,2048,1222145,355
binomial,2048,1237216,375
binomial,2048,1271891,394
binomial,2048,1238383,345
binomial,2048,1486595,382
binomial,2048,1304428,389
binomial,2048,1963588,365
binomial,2048,1232127,389
binomial,2048,1223721,379
binomial,2048,1244022,383
binomial,4096,2643915,448
binomial,4096,2452817,372
binomial,4096,2452986,369
binomial,4096,2528865,401
binomial,4096,2462095,425
binomial,4096,2447633,415
binomial,4096,2481641,497
binomial,4096,2512618,370
binomial,4096,2461165,365
binomial,4096,2480949,402
binomial,4096,2635158,421
binomial,4096,2578343,368
binomial,4096,2572072,388
binomial,4096,2455055,393
binomial,4096,2604592,369
binomial,4096,2454158,393
binomial,4096,2662931,410
binomial,4096,2491199,373
binomial,4096,2451192,475
binomial,4096,2438514,361
binomial,4096,2546525,390
binomial,4096,2459657,368
binomial,4096,2458784,420
binomial,4096,2649574,421
binomial,4096,2452239,381
binomial,4096,2430981,363
binomial,4096,2873618,385
binomial,4096,2466424,437
binomial,4096,2458491,345
binomial,4096,2521547,550
binomial,8192,5212415,432
binomial,8192,5132962,405
binomial,8192,4944177,384
binomial,8192,5080723,374
binomial,8192,5032951,698
binomial,8192,4993699,384
binomial,8192,5020727,425
binomial,8192,4909716,388
binomial,8192,5099743,399
binomial,8192,5443567,414
binomial,8192,5073975,405
binomial,8192,4977720,395
binomial,8192,5084540,604
binomial,8192,5732754,721
binomial,8192,5543983,408
binomial,8192,5056488,427
binomial,8192,5200988,413
binomial,8192,5333027,394
binomial,8192,4914428,375
binomial,8192,5099663,413
binomial,8192,4994762,394
binomial,8192,4937155,390
binomial,8192,5428175,397
binomial,8192,5673879,601
binomial,8192,5417488,414
binomial,8192,4972973,386
binomial,8192,5330308,560
binomial,8192,5076386,398
binomial,8192,5608947,418
binomial,8192,4983142,412
binomial,16384,10906867,400
binomial,16384,10630356,420
binomial,16384,10291916,430
binomial,16384,10348325,405
binomial,16384,10479555,438
binomial,16384,10642937,404
binomial,16384,11040438,450
binomial,16384,10896020,451
binomial,16384,10838446,459
binomial,16384,10133202,425
binomial,16384,10434747,429
binomial,16384,10091411,414
binomial,16384,10505685,399
binomial,16384,10425718,395
binomial,16384,10328714,392
binomial,16384,10664103,413
binomial,16384,10073234,380
binomial,16384,10349114,595
binomial,16384,10124948,395
binomial,16384,10298386,420
binomial,16384,10482054,502
binomial,16384,10768136,429
binomial,16384,10719654,402
binomial,16384,10298340,576
binomial,16384,10587222,397
binomial,16384,10240648,433
binomial,16384,10242026,389
binomial,16384,10439247,427
binomial,16384,11107803,385
binomial,16384,10952284,392
binomial,32768,20737890,415
binomial,32768,21153399,439
binomial,32768,21342273,388
binomial,32768,20720054,393
binomial,32768,21277128,424
binomial,32768,20748511,416
binomial,32768,20923662,411
binomial,32768,21459384,408
binomial,32768,20934034,420
binomial,32768,20837742,422
binomial,32768,21332575,418
binomial,32768,20840899,374
binomial,32768,21061447,392
binomial,32768,20855795,410
binomial,32768,21447967,414
binomial,32768,21741246,433
binomial,32768,20859578,657
binomial,32768,22032239,416
binomial,32768,21454700,399
binomial,32768,21245222,414
binomial,32768,21031163,424
binomial,32768,21112666,403
binomial,32768,21306052,826
binomial,32768,21423919,425
binomial,32768,21536123,464
binomial,32768,21998346,406
binomial,32768,20908821,426
binomial,32768,21265712,397
binomial,32768,21307748,407
binomial,32768,22068941,587
binomial,65536,44470456,434
binomial,65536,42382155,418
binomial,65536,42286800,415
binomial,65536,41532653,379
binomial,65536,42513018,400
binomial,65536,42185218,527
binomial,65536,42109132,421
binomial,65536,42476303,437
binomial,65536,42521659,471
binomial,65536,42161476,465
binomial,65536,43574539,409
binomial,65536,44022754,435
binomial,65536,43339912,669
binomial,65536,42781773,436
binomial,65536,44097033,431
binomial,65536,43792481,424
binomial,65536,42104285,430
binomial,65536,42603302,401
binomial,65536,42911704,499
