heap,n,full,last
binomial,1,3269,1407
binomial,1,556,991
binomial,1,484,871
binomial,1,481,866
binomial,1,480,882
binomial,1,431,796
binomial,1,492,886
binomial,1,460,861
binomial,1,498,847
binomial,1,500,947
binomial,1,654,873
binomial,1,451,855
binomial,1,437,799
binomial,1,425,840
binomial,1,395,633
binomial,1,9074,921
binomial,1,484,880
binomial,1,471,862
binomial,1,496,908
binomial,1,467,878
binomial,1,499,913
binomial,1,525,862
binomial,1,478,800
binomial,1,438,788
binomial,1,435,803
binomial,1,464,852
binomial,1,464,839
binomial,1,576,941
binomial,1,457,772
binomial,1,476,814
binomial,2,1260,597
binomial,2,1307,497
binomial,2,1179,489
binomial,2,1204,546
binomial,2,1230,493
binomial,2,1176,494
binomial,2,1181,508
binomial,2,1288,539
binomial,2,1257,500
binomial,2,1185,556
binomial,2,1234,566
binomial,2,1271,540
binomial,2,1240,537
binomial,2,1249,530
binomial,2,1171,539
binomial,2,1150,538
binomial,2,1271,525
binomial,2,1191,568
binomial,2,1222,494
binomial,2,1230,515
binomial,2,1269,546
binomial,2,1247,556
binomial,2,1303,523
binomial,2,1260,586
binomial,2,1284,561
binomial,2,1324,538
binomial,2,1260,549
binomial,2,1201,497
binomial,2,1313,577
binomial,2,1377,555
binomial,4,3257,597
binomial,4,3255,606
binomial,4,3121,566
binomial,4,3067,539
binomial,4,2815,501
binomial,4,2848,487
binomial,4,2842,563
binomial,4,2765,554
binomial,4,2899,531
binomial,4,2855,541
binomial,4,2773,540
binomial,4,2925,548
binomial,4,3014,545
binomial,4,2819,509
binomial,4,2910,549
binomial,4,2753,494
binomial,4,2743,536
binomial,4,2987,541
binomial,4,3089,494
binomial,4,2765,482
binomial,4,2845,525
binomial,4,2919,522
binomial,4,3076,537
binomial,4,3083,513
binomial,4,2813,542
binomial,4,2944,481
binomial,4,2720,470
binomial,4,2715,488
binomial,4,2838,553
binomial,4,2866,515
binomial,8,6406,553
binomial,8,6459,524
binomial,8,5997,547
binomial,8,6118,514
binomial,8,6395,506
binomial,8,6296,539
binomial,8,6151,525
binomial,8,6257,516
binomial,8,5887,568
binomial,8,6363,520
binomial,8,6082,543
binomial,8,6248,551
binomial,8,6004,491
binomial,8,6213,532
binomial,8,6335,549
binomial,8,6337,538
binomial,8,5920,491
binomial,8,6309,528
binomial,8,5912,488
binomial,8,6092,498
binomial,8,6450,517
binomial,8,6057,498
binomial,8,6149,545
binomial,8,6188,528
binomial,8,25110,650
binomial,8,6288,533
binomial,8,6084,521
binomial,8,6562,509
binomial,8,6605,528
binomial,8,6266,539
binomial,16,13335,561
binomial,16,13378,523
binomial,16,13109,511
binomial,16,12908,543
binomial,16,13293,526
binomial,16,12944,528
binomial,16,13100,525
binomial,16,13071,542
binomial,16,12999,524
binomial,16,12665,523
binomial,16,13175,543
binomial,16,13023,543
binomial,16,12759,525
binomial,16,13468,511
binomial,16,13123,535
binomial,16,13230,517
binomial,16,13024,495
binomial,16,13006,502
binomial,16,13949,542
binomial,16,13866,548
binomial,16,13864,561
binomial,16,12645,479
binomial,16,12506,490
binomial,16,12357,478
binomial,16,12415,509
binomial,16,12799,531
binomial,16,12606,474
binomial,16,12986,527
binomial,16,13357,516
binomial,16,13293,513
binomial,32,27062,599
binomial,32,26590,545
binomial,32,26810,487
binomial,32,27109,506
binomial,32,31234,523
binomial,32,27581,512
binomial,32,27006,547
binomial,32,26535,502
binomial,32,27044,507
binomial,32,26956,504
binomial,32,26280,481
binomial,32,25823,484
binomial,32,26412,500
binomial,32,25982,501
binomial,32,28084,540
binomial,32,26915,533
binomial,32,28167,540
binomial,32,25668,506
binomial,32,26197,505
binomial,32,27884,538
binomial,32,26579,522
binomial,32,28284,538
binomial,32,27494,534
binomial,32,26870,525
binomial,32,26095,494
binomial,32,26304,507
binomial,32,29506,503
binomial,32,25388,535
binomial,32,26204,544
binomial,32,27265,494
binomial,64,57336,616
binomial,64,53141,507
binomial,64,53582,501
binomial,64,54626,475
binomial,64,53251,494
binomial,64,54254,534
binomial,64,53910,524
binomial,64,54348,491
binomial,64,52533,499
binomial,64,59717,496
binomial,64,54112,505
binomial,64,55722,571
binomial,64,55995,509
binomial,64,55784,511
binomial,64,54140,507
binomial,64,56685,540
binomial,64,53853,499
binomial,64,55793,510
binomial,64,56220,531
binomial,64,54227,517
binomial,64,74606,505
binomial,64,53620,511
binomial,64,53973,537
binomial,64,52798,493
binomial,64,54396,508
binomial,64,53757,509
binomial,64,53084,531
binomial,64,53793,534
binomial,64,54854,509
binomial,64,53965,513
binomial,128,116904,653
binomial,128,106430,522
binomial,128,107225,511
binomial,128,108588,501
binomial,128,107651,498
binomial,128,107403,531
binomial,128,111489,525
binomial,128,106062,530
binomial,128,109076,527
binomial,128,108763,526
binomial,128,108268,537
binomial,128,107121,571
binomial,128,102791,380
binomial,128,75984,382
binomial,128,75244,374
binomial,128,73799,391
binomial,128,75560,357
binomial,128,75273,369
binomial,128,76913,370
binomial,128,77067,377
binomial,128,76570,352
binomial,128,74534,364
binomial,128,76004,355
binomial,128,75444,395
binomial,128,76454,366
binomial,128,74876,369
binomial,128,73745,364
binomial,128,76203,364
binomial,128,76900,372
binomial,128,76404,366
binomial,256,166884,472
binomial,256,155163,388
binomial,256,153468,384
binomial,256,153714,376
binomial,256,155310,365
binomial,256,153329,358
binomial,256,153106,356
binomial,256,152146,372
binomial,256,151108,370
binomial,256,153979,376
binomial,256,153991,369
binomial,256,152545,374
binomial,256,153719,403
binomial,256,156213,373
binomial,256,153577,365
binomial,256,152085,400
binomial,256,151454,372
binomial,256,149483,373
binomial,256,152503,367
binomial,256,154572,397
binomial,256,151049,350
binomial,256,153811,377
binomial,256,152322,374
binomial,256,150568,412
binomial,256,156320,387
binomial,256,154428,341
binomial,256,154348,387
binomial,256,149783,370
binomial,256,151046,365
binomial,256,152897,364
binomial,512,317745,392
binomial,512,305597,375
binomial,512,308783,368
binomial,512,308201,351
binomial,512,308263,395
binomial,512,308919,398
binomial,512,321521,362
binomial,512,304409,358
binomial,512,306571,369
binomial,512,305972,361
binomial,512,307108,377
binomial,512,305632,361
binomial,512,308837,369
binomial,512,309308,374
binomial,512,324065,369
binomial,512,307009,372
binomial,512,308607,368
binomial,512,305059,386
binomial,512,310069,353
binomial,512,305043,366
binomial,512,315416,383
binomial,512,306815,365
binomial,512,311699,365
binomial,512,304828,366
binomial,512,313890,382
binomial,512,307722,356
binomial,512,304705,369
binomial,512,307376,352
binomial,512,307156,367
binomial,512,303618,355
binomial,1024,632917,387
binomial,1024,617184,369
binomial,1024,618394,359
binomial,1024,612146,375
binomial,1024,615351,398
binomial,1024,619779,377
binomial,1024,608222,365
binomial,1024,616713,369
binomial,1024,610436,340
binomial,1024,619244,390
binomial,1024,612898,371
binomial,1024,614679,371
binomial,1024,614025,397
binomial,1024,620867,359
binomial,1024,619981,389
binomial,1024,621418,367
binomial,1024,615713,387
binomial,1024,617256,356
binomial,1024,619296,361
binomial,1024,726211,463
binomial,1024,663255,401
binomial,1024,619141,393
binomial,1024,611095,376
